x,y,z
7.114183290000000270e+05,3.082407939999999944e+05,9.206000000000000227e+01
7.114358499999999767e+05,3.082706520000000019e+05,9.120400000000000773e+01
7.114259529999999795e+05,3.082601280000000261e+05,9.204500000000000171e+01
7.114324459999999963e+05,3.082456089999999967e+05,8.999599999999999511e+01
7.114287360000000335e+05,3.082675109999999986e+05,9.202500000000000568e+01
7.114254449999999488e+05,3.082700179999999818e+05,9.297599999999999909e+01
7.114057369999999646e+05,3.082338510000000242e+05,9.371600000000000819e+01
7.114519830000000075e+05,3.082604820000000182e+05,8.930200000000000671e+01
7.114320479999999516e+05,3.082650760000000009e+05,9.121500000000000341e+01
7.114133560000000289e+05,3.082554039999999804e+05,9.426099999999999568e+01
7.114006949999999488e+05,3.082347449999999953e+05,9.515900000000000603e+01
7.114291169999999693e+05,3.082688659999999800e+05,9.204800000000000182e+01
7.114205139999999665e+05,3.082581709999999730e+05,9.290300000000000580e+01
7.114014529999999795e+05,3.082314050000000279e+05,9.451000000000000512e+01
7.114262500000000000e+05,3.082640999999999767e+05,9.221800000000000352e+01
7.114195080000000307e+05,3.082577779999999912e+05,9.312000000000000455e+01
7.114290429999999469e+05,3.082374429999999702e+05,9.035000000000000853e+01
7.114269070000000065e+05,3.082667550000000047e+05,9.222100000000000364e+01
7.114091729999999516e+05,3.082470109999999986e+05,9.442400000000000659e+01
7.114213680000000168e+05,3.082575910000000149e+05,9.262900000000000489e+01
7.114161239999999525e+05,3.082563219999999856e+05,9.358400000000000318e+01
7.114153830000000307e+05,3.082501790000000037e+05,9.323700000000000898e+01
7.114294129999999423e+05,3.082729849999999860e+05,9.252800000000000580e+01
7.114369429999999702e+05,3.082442839999999851e+05,9.002400000000000091e+01
7.114298000000000466e+05,3.082618699999999953e+05,9.139499999999999602e+01
7.114097770000000019e+05,3.082423730000000214e+05,9.371000000000000796e+01
7.114288090000000084e+05,3.082677399999999907e+05,9.198499999999999943e+01
7.114004250000000466e+05,3.082293989999999758e+05,9.466100000000000136e+01
7.114139989999999525e+05,3.082405030000000261e+05,9.284499999999999886e+01
7.114081389999999665e+05,3.082354340000000084e+05,9.336599999999999966e+01
